" The jokes and story do not hold a candle to their predecessor, but there are enough funny and moving moments to make this a pretty solid family flick.",neutral
 [Finding Dory] injects heartfelt emotion and a thoughtful examination of the necessary links between family and identity into a film geared toward a younger audience. ,positive
" ""Finding Dory"" is about the self-preservation and gumption of a character with special needs throughout her life.",positive
 Who would have thought one of the deepest films ever made about learning disabilities would star a talking blue fish?,positive
" This film seems funny enough and exciting enough to entertain kids, but there really isn't much constructive in the story itself, which is pretty close to nonsensical.",negative
" For all its attempts to expand the original's ensemble and embellish its themes, Dory is cod in batter beside Nemo's smoked salmon. But still tasty.",neutral
" The aquatic world of Dory doesn't teem with as many fascinating details as the mammalian world of spring's Zootopia, but it has its share of clever visual gags, many of them occasioned by Hank's camouflaging abilities. ",neutral
" This fishy tale may not be as lively as its popular predecessor. Still, Finding Dory strikes gold anew for a new generation of family filmgoers.",neutral
" In general, Finding Dory doesn't reach the heights of the original, but it delivers an hour and 40 minutes of solid entertainment.",positive
" Stanton takes aim at the heart instead of the head. This is another touching fable about friendship, self-reliance and courage.",positive
" This sequel is certainly more than just a shameless cash-in on one of Pixar's finest films, but it's also not quite up to the studio's highest standards.",neutral
" A reversal of 'Finding Nemo' that -- like its predecessor -- revels in the imaginative opportunities afforded by its floaty, almost surreal underwater environment, the movie has charm and warmth but lacks distinction.",neutral
 Kids around six and eight will likely love the offerings here but adults might find their patience tested by this brilliantly rendered but rather wet serving of Disney franchise extender. ,neutral
 ...look closer. Even Pixar's sages seem a bit bored with their normal M.O. ...but only Sigourney Weaver knows for sure.,neutral
" The best sequel made by Pixar Animation Studios without the word ""toy"" in the title. This is a relief, but not all that much of an achievement.",neutral
" It's not bad -- certainly, the worst Pixar films are still eminently watchable -- but nor is it particularly inspired.",positive
" Finding Dory may not quite reach the narrative success of its predecessor, but with an outstanding vocal cast, gorgeous animation, and plenty of heart, it still stands as a fine addition to Pixar's outstanding library of animated classics.",neutral
" Its originality radicates in its execution: frantic rhythm, a detailed script, brilliant design, and emotional hits strategically placed with a bunch of new characters. [Full review in Spanish]",positive
" Because it centres on a personal quest, it's a very different style of movie, which makes some of the action feel rather contrived. But the characters are still vivid and likeable, and it's packed with meaningful themes.",neutral
" Strong, mid-tier Pixar.",neutral
 One of Pixar's most delightful offerings to date.,positive
 'Finding Dory' is a swimming success.,positive
" Much like its titular character, it keeps swimming, and in doing so teaches all of us life lessons that we likely already knew yet still could use to revisit all the same.",positive
 Balance is the thing and Stanton and MacLane know when to use a well-timed piece of slapstick or visual gag to cut through sentiment.,positive
" What it lacks in ingenuity, Finding Dory more than makes up for with enjoyability for all ages, making this a worthwhile plunge back into the ocean.",neutral
" I'm not sure this film has the emotional resonance of the original, and nothing much is done to develop the characters of Marlin and Nemo. But Finding Dory is a lot of fun, and went down a bomb with junior critics.",neutral
" Before a somewhat cluttered conclusion, Finding Dory is a truly touching film, graceful in its exploration of identity, family, and the way they intersect.",positive
 We're now at a point in the history of animation where animators can tell a joke with a facial expression shared between a fish and a cephalopod.,neutral
 Stuffed to the gills with gags and generates plenty of empathy for the Ellen DeGeneres-voiced Dory ...,neutral
" Finding Dory is inferior to Finding Nemo (and both Toy Story sequels). Those films are tesseracts, this one's a cube. That said, to label it average somehow misses the point.",positive
" The short-term memory-loss business very quickly becomes more wearing than funny. I can't say that its poignancy really worked on me, either, though I know it has on some.",negative
" While entertaining and beautifully animated, with some amusing set-pieces that will thrill children, it's a rather shallow follow up that doesn't touch the heart.",neutral
 Dory's story will not leave a dry eye in the cinema.,positive
 It is approached with such charm and warmth that it hardly matters that the two films share such similar arcs.,positive
" There are commendable lessons here about being resilient and resourceful and kind, but you'll have fun learning them. ",positive
" ...though he only appears for a minute or two, Gerald immediately enters the pantheon of great Pixar side characters...",positive
" There are large dollops of sentimentality and we all know just how the story is going to end, but there's an enjoyably anarchic undertow to proceedings, not least when the fish commandeer a lorry and race the wrong way up a freeway.",positive
" Finding Dory is an enchanting tale that never once fells like an unnecessary retread, and while not quite surpassing its predecessor, it at least equals it. And when the pedigree you're talking about is this high, that's quite an achievement.",positive
 It's ironic that a film about a forgetful fish should be so forgettable.,neutral
 Get in the swim.,positive
" It's Pixar's most complete film. Laughs, schmaltz, wit, excitement, tears. Truly wonderful.",positive
" All in all, Finding Dory is exactly what a great sequel should be - like the original, only better.",positive
" It's watchable, with all the wonderful animation technique that we are in danger of taking for granted. But it's basically a footnote or retread of the movie which melted everyone's heart 12 years ago.",neutral
" There are few dud jokes, if any, in a script directed with vaudevillian verve by Andrew Stanton, the human pilot fish behind Nemo and Wall-E who also wrote Toy Stories one to three and Monsters, Inc.",positive
" Time to clear some shelf space beside The Godfather Part II, The Empire Strikes Back and Aliens -- this will be watched just as often.",positive
" Another Pixar mega success, it's almost as good as Finding Nemo and fab for viewers of all ages.",positive
" Finding Dory may be familiar magic, but there's magic in it all the same.",positive
 Finding Dory knows what it means to be an entertaining film. [Full review in Spanish],neutral
" The sluggish pace and wayward plot are reminiscent of one of Disney's many, many home-entertainment sequels.",negative
" As always, mid-tier Pixar is better than 90 percent of stuff out there.",neutral
 Another sample of why Pixar is he king of animation films. [Full review in Spanish],positive
" A movie full of heartwarming moments, of personal growth, and humor. [Full review in Spanish]",positive
" It may not be the freshest story in the Pixar catalogue to date but with its undeniable feel-good nature and authentic nods of nostalgia, you'll certainly find yourself smiling from ear-to-ear that these lovable little fish have swum back into your lives.",neutral
 It's filled to the gills with engaging anthropomorphised animals and a succession of frankly dazzling action sequences in which the main characters make their way through an unseeing human world.,positive
" The brilliant animation functions with symbolic profundity, for the film is all about Dory exploring her own deep blues, an elusive sadness she can't identify, tugging from a place within.",positive
" It has a breathless, often frantic storyline that doesn't add up to much. But the beautifully rendered undersea locations and a rip-roaring nail-biter of an ending make up for the slack.",neutral
 It's a more than adequate sequel to a much loved animated classic.,positive
" While it may not be as engrossing as its predecessor, Pixar's follow-up to its 2003's animated smash-hit Finding Nemo still manages to find its own groove.",neutral
" Being a Pixar film it is, of course, eye-poppingly rich with color and detail. (The glowy underwater light of the film is particularly breathtaking).",neutral
" In many ways, Finding Dory improves upon its predecessor, although it still doesn't rank as any kind of major achievement for the beloved animation studio. ",neutral
 Finding Dory is really just Finding Nemo Redux but within its casual recycling we get at least one genius new joke.,neutral
 Entertaining enough not to embarrass the original. [Full review in Portuguese.],neutral
 Despite the familiar narrative scaffolding ... the most memorable joys of the journey are the things that artists undoubtedly discovered in the course of spontaneous play.,positive
 ... director and writer Andrew Stanton is able to make an original and heartwarming story about Dory's past and how she came to be.,positive
 It's gorgeous. It's lively. It's got terrific performances from a strong voice cast. It's emotionally affecting without being heavy-handed.,neutral
 Look what the tide brought in: The fish version of Memento.,neutral
" A quirky menagerie of all the fundamental ingredients of a passable Pixar vehicle: adventure, complex plot situations, perceptive dialogue, tongue-in-cheek awareness, joy, charisma, likable characters and visuals that inspire wonder.",neutral
 Finding Dory doesn't lose track of the character's particular predicament.,neutral
" Does it reach the emotional heights of its original? No. Is it funnier? Surprisingly, yes.",positive
" Finding Dory doesn't quite reach the heights of Finding Nemo. But it's a lovely experience for those riding the Pacific Ocean currents for the first time, and a nostalgic one for those of us returning.",positive
" Dory, the unforgettable character from ""Finding Nemo,"" is given her own showcase here and the Pixar team truly does a tremendous job bringing her poignant and personal story to life.",positive
" Finding Dory is enjoyable in its own right, even if its powerful sense of dÃ©jÃ  vu keeps it from approaching the pinnacle of the Disney/Pixar collaborations.",neutral
" An improvement over the original, with a perfect payoff as well as a lesson that isn't as belabored as in the first film. (Splice Today) ",positive
" For kids and adults, there's a lovely parable about persistence, optimism and embracing difference. Something we could all use a little more of.",neutral
" Finding Dory makes a splash, is as good if not better than Finding Nemo. ",positive
 Intermittently cute and nothing more.,negative
" An inventive animated film about short-term memory loss, the longing to return home, and the lessons learned on a quest.",positive
" Finding Dory might not hit the emotional highs of Nemo, but it's right on track with everything else. An immensely satisfying family film.",positive
" If I wasn't choking back tears, Finding Dory had me laughing until I hurt myself. Oh yes, and it looks amazing, too.",positive
" shares much with last year's blockbuster MAD MAX: FURY ROAD, including the sense that nothing is impossible, including testing the laws of physics to their limits, and a strong message of feminine empowerment",positive
" Dory can fritter away your interest, and the prominence also exposes the limitations of DeGeneres as a voice actor: daffy blather is a cinch for the talk-show host, but she absolutely milks any attempt at pathos.",negative
" Like all Pixar movies (except Cars 2), this has some golden moments that hit you right in the feels.",positive
" ...a solid effort and a nice comeback from last year's The Good Dinosaur, but this is not the best American animated feature we've seen this year.",positive
" For a fish story, ""Finding Dory"" is pretty small scale. Or at least it seems when tossed into the sea with a whopper like ""Finding Nemo."" It simply can't measure up emotionally or narratively. ",neutral
" Finding Dory is as entertaining, soul enriching and bittersweet as any Pixar production to date.",positive
" Efforts like Finding Dory, while perfectly pleasant, do little to quell the feeling that a certain measure of rubber-stamp efficiency has gripped the studio (the superb Inside Out excepted). In other words, welcome to Pixar's cash-grab years.",neutral
 Gently entertaining... gets funny...Tidbits provide something for adults when they take the kids but that is not enough of a reason for adults to come on their own.,neutral
